BiblioID,Reference
E2007,"Ejoh, R.A., Djuikwo, V.N., Gouado, I. & Mbofung, C.M. 2007. Nutritional components of some non-conventional leafy vegetables consumed in Cameroon. Pakistan Journal of Nutrition, 6(6): 712–717."
EJ2011,"Djuikwo, V.N., Ejoh, R.A., Gouado, I., Mbofung, C.M. & Tanumihardjo, S.A. 2011. Determination of major carotenoids in processed tropical leafy vegetables indigenous to Africa. Food and Nutrition Sciences, 2(8): 793–802."
F09,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES). 2017. CIQUAL French food composition table version 2017 [online]. Maisons-Alfort, France. [Cited November 2018]. https://ciqual.anses.fr/ "
FAO,"FAO & USDA. 1968. Food Composition Table for Use in Africa. Rome, FAO. (also available at http://www.fao.org/docrep/003/X6877E/X6877E00.htm)"
FE2004,"Fokou, E., Achu, M.B. & Tchounguep, F.M. 2004. Preliminary nutritional evaluation of five species of egusi seeds in Cameroon. African Journal of Food, Agriculture, Nutrition and Development, 4(1)."
fi104BIO,"Louly, A.W.O.A., Gaydou, E.M. & Ould El Kabir, M.V. 2011. Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry, 124(1): 24–28."
fi117BIO,"Vlieg, P., Murray, T. & Body, D.R. 1993. Nutritional data on six oceanic pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis, 6(1): 45–54."
fi131BIO,"Visentainer, J.V., D’Addio Noffs, M., de Oliveira Carvalho, P., de Almeida, V.V., de Oliveira, C.C. & de Souza, N.E. 2007. Lipid content and fatty acid composition of 15 marine fish species from the southeast coast of Brazil. Journal of the American Oil Chemists’ Society, 84(6): 543–547."
fi139BIO,"Steiner-Asiedu, M., Julshamn, K. & Lie, Ø. 1991. Effect of local processing methods (cooking, frying and smoking) on three fish species from Ghana: Part I. Proximate composition, fatty acids, minerals, trace elements and vitamins. Food Chemistry, 40: 309–321"
fi140BIO,"Steiner-Asiedu, M., Asiedu, D. & Njaa, L.R. 1991. Effect of local processing methods (cooking, frying and smoking) on three fish species from Ghana: Part II. Amino acids and protein quality. Food Chemistry, 41: 227–236"
fi152AnFood,"Castro-González, M.I., Ojeda, A., Silncio, J.L., Cassis, L., Ledesma, H. & Pérez-Gil, F. 2004. Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon, 54(3): 328–336."
fi153BIO,"García-Arias, M.T., Navarro, M.P. & García-Linares, M.C. 2004. Effects of different thermal treatments and storage on the proximate composition and protein quality in canned tuna. Archivos Latinoamericanos de Nutricíon, 54(1): 112–117."
fi155BIO,"Mathew, S., Ammu, K. Viswanathan, N.P.G. & Devadasan, K. 1999. Cholesterol content of Indian fish and shellfish. Food Chemistry, 66(4): 455–461."
fi156BIO,"Gordon, D.T., Roberts, G.L. & Heintz, D.M. 1979. Thiamin, riboflavin and niacin content and stability in pacific coast seafoods. Journal of Agricultural and Food Chemistry, 27(3): 483–490."
fi173BIO,"Kalogeropoulos, N., Andrikopoulos, N.K. & Hassapidou, M. 2004. Dietary evaluation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture, 84(13): 1750–1758"
fi189BIO,"Balogun, A.M. & Akegbejo-Samsons, Y. 1992. Waste yield, proximate and mineral composition of shrimp resources of Nigeria’s coastal waters. Bioresource Technology, 40(2): 157–161."
fi195AnFood,"Stansby, M.E. 1976. Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review, 38(9): 1–11."
fi199BIO,"Roos, N., Leth, T., Jakobsen, J. & Thilsted, S.H. 2002. High vitamin A content in some small indigenous fish species in Bangladesh: perspectives for food-based strategies to reduce vitamin A deficiency. International Journal of Food Science and Nutrition, 53: 425–437"
fi23BIO,"Kwetegyeka, J., Mpango, G. & Grahl-Nielsen, O. 2008. Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids, 43(11): 1017–1029."
fi28BIO,"Masa, J., Ogwok, P., Muyonga, J.H., Kwetegyeka, J., Makokha, V. & Ocen, D. 2011. Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. Journal of Aquatic Food Product Technology, 20(1): 64–72."
fi367BIO,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A.R. & Jakobsen, J. 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42: 120–133"
fi45AnFood,"Sirot, V., Oseredczuk, M., Bemrah-Aouachria, N., Volatier, J.-L. & Leblanc, J.-C. 2008. Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. Journal of Food Composition and Analysis, 21(1): 8–16."
fi56BIO,"Nakamura, Y.-N., Ando, M., Seoka, M., Kawasaki, K.-I. & Tsukamasa, Y. 2007. Changes of proximate and fatty acid compositions of the dorsal and ventral ordinary muscles of the full-cycle cultured Pacific bluefin tuna Thunnus orientalis with growth. Food Chemistry, 103(1): 234–241."
fi57BIO,"Güner, S., Dincer, B., Alemdag, N., Colak, A. & Tüfekci, M. 1998. Proximate composition and selected mineral content of commercially important fish species from the Black Sea. Journal of the Science of Food and Agriculture, 78(3): 337–342."
fi58BIO,"Njinkoué J.-M., Barnathan, G., Miralles, J., Gaydou, E.-M. & Samb, A. 2002. Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology, 131(3): 395–402"
fi69BIO,"Memon, N.N., Talpur, F.N., Bhanger, M.I. & Balouch, A. 2011. Changes in fatty acid composition in muscle of three farmed carp fish species (Labeo rohita, Cirrhinus mrigala, Catla catla) raised under the same conditions. Food Chemistry, 126: 405–410."
fi73BIO,"Pirini, M., Testi, S., Ventrella, V., Pagliarani, A. & Badiani, A. 2010. Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry, 123(2): 306–314"
fi75BIO,"Swapna, H.C., Amit, K.R., Bhaskar, N. & Sachindra, N.M. 2010. Lipid classes and fatty acid profile of selected Indian fresh water fishes. Journal of Food Science and Technology, 47(4): 394–400."
fi80BIO,"Karakoltsidis, P.A., Zotos, A. & Constantinides, S.M. 1995. Composition of the commercially important Mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8(3): 258–273."
fi91AnFood,"Yerlıkaya, P., Gokoglu, N., Topuz, O.K. & Gokoglu, M. 2009. Changes in the proximate composition of bluefin tuna (Thunnus thynnus) reared in the cages located on the Gulf of Antalya (Turkey’s western Mediterranean coast) during the fattening period. Aquaculture Research, 40: 1731–1734"
fi98AnFooD,"Chandrashekar, K. & Deosthale, Y.G. 1993. Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis, 6(2): 195–200."
FORT01,"Sablah, M., Grant, F. & Fiedler, J.L. 2013. Food fortification in Africa: Progress to date and priorities moving forward. Sight and Life, 27(3): 18–24."
FORT07,"Traore, T. 2008. Regional harmonization for sustainable food fortification program. Regional Feasibility Study for the West African Health Organization. Human Development Department, Health Division, ECOWAS. (also available at http://www.smarterfutures.net/wp-content/uploads/2013/12/ECOWAS-wide_Fortification_Report_02_09_Final.pdf)."
FORT11,"Nyumuah, R.O., Hoang, T.C., Amoaful, E.F., Agble, R., Meyer, M., Wirth, J.P., Locatelli-Rossi, L. & Panagides, D. 2012. Implementing large-scale food fortification in Ghana: lessons learned. Food and Nutrition Bulletin, 33(4_suppl3): S293–S300."
FORT13,"Hoogendoorn, A., Luthringer, C., Parvanta, I. & Garrett, G. 2016. Food Fortification Global Mapping Study 2016. European Commission. (also available at https://ec.europa.eu/europeaid/sites/devco/files/global-mapping-_study-2016.pdf)."
FORT15,"République du Mali. 2017. Rendant obligatoire l’enrichissement et vitamine A des huiles alimentaires destinées à la consommation humaine en République du Mali. Arrete Interministeriel No. 2017-0010. Ministre du Développement Industriel, Ministre de l’Economie et des Finances, Ministre de la Santé et de l’Hygiène Publique, Ministre du Commerce. Bamako."
FORT16,"BASF. 2002. Africa: Food Fortification Regulations [online]. Ludwigshafen, Germany. [Cited November 2018]. http://www.food-fortification.com/Libraries/2017_About_-us_Document/MANDATORY_FOOD_EN"
FORT17,"République du Bénin. 2012b. Portant modalities de fortification en vitamin A des huiles alimentaires destinees a la consummation humaine et animale en Republique du Benin. Arrete Interministeriel 2012, No. 0238. Ministre de la Santé, Ministre de Economie et des Finances, Ministre de l’Agriculture de l’Elevage et de la Pêche, Ministre d’Industrie, du Commerce, des Petites et Moyennes Entreprises. Porto-Novo."
FORT18,"Ogunmoyela, O.A., Adekoyeni, O., Aminu, F. & Umunna, L.O. 2013. A critical evaluation of survey results of vitamin A and Fe levels in the mandatory fortified food vehicles and some selected processed foods in Nigeria. Nigeria Food Journal, 31(2): 52–62."
FORT19,Global Fortification Data Exchange (GFDx). 2019. Global Fortification Data Exchange [online]. [Cited October 2018]. https://fortificationdata.org
FORT20,"République du Bénin. 2012a. Portant modalities de fortification en fer, acide folique, zinc et vitamines du groupe B de la farine de blé destinee a la consommation humaine et animale en Republique du Benin. Arrete Interministeriel 2012, No. 0237. Ministre de la Santé, Ministre de Economie et des Finances, Ministre de l’Agriculture de l’Elevage et de la Pêche, Ministre d’Industrie, du Commerce, des Petites et Moyennes Entreprises. Porto-Novo."
fr14BIO,"Eromosele, I.C., Eromosele, C.O. & Kuzhkuzha, D.M. 1991. Evaluation of mineral elements and ascorbic acid contents in fruits of some wild plants. Plant Foods for Human Nutrition, 4(2): 151–154."
fr15BIO,"Nicol, B.M. 1957. Ascorbic acid content of baobab fruit. Nature, 176(1273): 180–287."
fr16BIO,"Soloviev, P., Niang, T.D., Gaye, A. & Totte, A. 2004. Variabilité des caractères physio-chimiques des fruits de trois espèces ligneuses de ceuillette récoltés au Sénégal: Adansonia digiata, Balanites aeegyptiaca et Tamarindus indica. Fruits, 59: 109–119."
fr18BIO,"Carr, W.R. 1955. Ascorbic Acid Content of Baobab Fruit. Nature, 176: 1273."
fr19BIO,"Saka, J.D.K, Msonthi, J.D. & Sambo E.Y. 1992. Dry matter, acidity and ascorbic acid contents of edible wild fruits growing in Malawi. Tropical Science, 32(3): 217–221."
fr1BIO,"Saka, J.D.K. & Msonthi, J.D. 1994. Nutritional value of edible fruits of indigenous wild trees in Malawi. Forest Ecology and Management, 64(1–2): 245–248."
fr21BIO,"Diop, P.A., Franck, D., Grimm, P. & Hasselmann, C. 1988. High-performance liquid chromatographic determination of vitamin C in fresh fruits from West Africa. Journal of Food Composition and Analysis, 1(3): 265–269."
fr22BIO,"Parkouda, C., Sanou, H., Tougiani, A., Korbo, A., Nielsen, D.S., Tano-Debrah, K., Raebild, A., Diawara, B. & Jensen, J.S. 2011. Variability of baobab (Adansonia digitata L.) fruits’ physical characteristics and nutrient content in the West African Sahel. Agroforestry Systems, 85(3): 455–463."
fr24BIO,"Malaisse, F.P. & Parent, G. 1985. Edible wild vegetable products in the Zambezian woodland area: A nutritional and ecological approach. Ecology of Food and Nutrition, 18(1): 43–82."
fr2BIO,"Wehmeyer, A.S. 1966. The nutrient composition of some edible wild fruits found in the Transvaal. South African Medical Journal, 40(45): 1102–1104."
fr3BIO,"Lockett, C.T., Calvert, C.C. & Grivetti, L.L. 2000. Energy and micronutrient composition of dietary and medicinal wild plants consumed during drought. Study of rural Fulani, Northeastern Nigeria. International Journal of Food Sciences and Nutrition, 51(3): 195–208."
fr50BIO,"Fentahun, M.T. & Hager H. 2009. Exploiting locally available resources for food and nutritional security enhancement: wild fruits diversity, potential and state of exploitation in the Amhara region of Ethiopia. Food Security, 1(2): 207–129."
fr52BIO,"Herzog, F., Farah, Z. & Amado, R. 1994. Composition and consumption of gathered wild fruits in the V-Baoulé, Côte d’Ivoire. Ecology of Food and Nutrition, 32(3–4): 181–196."
fr5BIO,"Cissé, M., Sakho, M., Dornier, M., Mar Diop, C., Reynes, M. & Sock, O. 2008. Characterization of the baobab tree fruit and study of its processing into nectar. Fruits, 64(1): 19–34."
GH1011,"Agbemafle, R., Obodai, E.A., Adukpo, G.E. & Amprako, D.E. 2012. Effect of boiling time on the concentration of vitamin C and beta-carotene in five selected green vegetables consumed in Ghana. Advances in Applied Science Research, 3(5): 2815–2820."
GH1025,"Appiah, F., Oduro, I., Ellis, W.O. & Adu, G. 2012. Comparative assessment of the performance of Parkia biglobosa, Glycine max and Treculia africana in the production of a local condiment (dawadawa) in Ghana. African Journal of Food Science, 6(5): 111–116."
GH1029,"Brown, B.A. 2005. Enzymatic Modification of Soybean Milk for Improved Functionality. Department of Nutrition and Food Science, University of Ghana. (Dissertation)"
GH1032,"Gyamfi, D.O. 2012. The Effect of Fertilizer Application on the Chemical Composition and Functional Characteristics of Maize. Department of Nutrition and Food Science, University of Ghana. (Dissertation)"
GH1034,"Dagodzo, D.K. 2010. Proximate Composition and Sensory Analysis of Locally Made Sausages on the Open Ghanaian Market. Department of Nutrition and Food Science, University of Ghana. (Dissertation)"
GH1037,"Dzomeku, B.M., Adu-Kwarteng, E. & Darkey, S.K. 2007. Comparative study on the nutritional composition of two FHIA tetraploids FHIA-21 (Tetraploid French plantain) and FHIA-03 (Tetraploid cooking banana) in Ghana. American Journal of Food Technology, 2(5);452–456."
GH1039,"Asare, E.K.O. 1999. Characterisation of banana cultivars and their suitability for processing. Department of Nutrition and Food Science, University of Ghana. (Dissertation)"
GH1046,"Duodu, G.O., Amartey, E.O., Asumadu-Sakyi, A.B., Adjei, C.A., Quashie, F.K., Nsiah-Akoto, I. & Ayanu, G. 2012. Mineral profile of pito from Accra, Tamale, Bolgatanga and Wa in Ghana. Food and Public Health, 2(1): 1–5."
GH1059,"Kwenin, W.K.J., Wolli, M. & Dzomeku, B.M. 2011. Assessing the nutritional value of some indigenous green leafy vegetables in Ghana. Journal of Animal and Plant Sciences, 10(2): 1300–1305."
GH1062,"Steiner-Asiedu, M., Nuro-Ameyaw, P., Agbemafle, I., Hammond, S.H. & Tano-Debrah, K. 2014. Nutrient composition and protein quality of four species of the Curcubitaceae Family. Advance Journal of Food Science and Technology, 6(7): 843–851."
GH1063,"Stephen, M. 2010. Nutrient Composition of Beer and the Implication on Nutritional Status. Department of Nutrition and Food Science, University of Ghana. (Dissertation)"
GH1064,"Nartey, R.A. 2010. Physico-Chemical and Rheological Characterization of Fufu Made from Fufu Flours. Department of Nutrition and Food Science, University of Ghana. (Dissertation)"
GH1066,"Oduro, I., Ellis, W.O., Dziedzoave, N.T. & Nimako-Yeboah, K. 2000. Quality of gari from selected processing zones in Ghana. Food Control, 11:297–303."
GH1067,"Ofori, G., Oduro, I., Ellis, W.O. & Dapaah, K.H. 2009. Assessment of vitamin A content and sensory attributes of new sweet potato (Ipomoea batatas) genotypes in Ghana. African Journal of Food Science, 3(7): 184–192."
GH1068,"Plahar, W.A. & Leung, H.K. 1983. Composition of Ghanaian fermented maize meal and the effect of soya fortification on sensory properties. Journal of the Science of Food and Agriculture, 34(4): 407–411."
GH1076,"Steiner-Asiedu, M., Julshamn, K. & Lie, O. 1991. Effect of local processing methods (cooking, frying, and smoking) on three fish species from Ghana: Part I. Proximate composition, fatty acids, minerals, trace elements and vitamins. Food Chemistry, 40(3): 309–321. "
GH1078,"Tahiru, H.S. 2011. Preservation of Tomatoes by Drying. Department of Nutrition and Food Science, University of Ghana. (Dissertation)"
GH2000,"FAO. 2017. Food composition analysis of foods sampled in Ghana and analysed for WAFCT 2019 by the National Institute for Nutrition, Hyderabad, India. (Unpublished)"
GN2014,"Nkongho, G.O., Achidi, A.U., Ntonifor, N.N., Numfor, F.A., Dingha, B.N., Jackai, L.E.N. & Bonsi, C.K. 2014. Sweet potatoes in Cameroon: Nutritional profile of leaves and their potential new use in local foods. African Journal of Agricultural Research, 9(18): 1371–1377."
H2009,"Womeni, H.M., Linder, M., Tiencheu, B., Tchouanguep Mbiapo, F., Villeneuve, P., Fanni, J. & Parmentier, M. 2009. Oils of Oryctes owarinsis and Homorocoryphus nitidulus consumed in Cameroon: Sources of linoleic acid. Journal of Food Technology, 7(2): 54–58."
i10BIO,"Nurhasan, M., Maehre, H.K., Malde, M.K., Stormo, S.K., Halwart, M., James, D. & Elvevoll, E.O. 2010. Nutritional composition of aquatic species in Laotian rice field ecosystems. Journal of Food Composition and Analysis, 23(3): 205–213."
i11BIO,"Ashiru, M.O. 1988. The food value of the larva of anaphe venata butler (Lepidoptera: Notodontidae). Ecology of Food and Nutrition, 22(4): 313–320."
i12BIO,"Pennino, M., Dierenfeld, E.S. & Behler, J.L. 1991. Retinol, alpha-tocopherol and proximate nutrient composition of invertebrates used as feed. International Zoo Yearbook, 30(1): 143–149"
i13BIO,"Punzo, F. 2003. Nutrient composition of some insects and arachnids. Florida Scientist, 66(2): 84–98."
I14bio,"Oonincx, D.G.A.B & Vander Poel, A.F.B. 2010. Effects of diet on the chemical composition of migratory locusts (Locusta migratoria). Zoo Biology, 28: 1–8."
i16BIO,"Barker, D., Fitzpatrick M. & Dierenfeld E.S. 1998. Nutrient composition of selected whole vertebrates. Zoo Biology, 17: 123–134."
i17BIO,"Frye, F.L. & Calvert, C. 1989. Preliminary information on the nutritional content of mulberry silk moth (Bombyx mori) larvae. Journal of Zoo and Wildlife Medicine, 20(1): 73–75."
i18BIO,"Studier, E.H. & Sevick, S.H. 1992. Live mass, water content, nitrogen and mineral levels in some insects from south-central lower Michigan. Comparative Biochemistry and Physiology Part A: Physiology, 103(3): 579–595."
I19bio,"Bird, D.M., Ho, S. & Paré, D. 1982. Nutritive values of three common prey items of the American kestrel. Comparative Biochemistry and Physiology, 73A(3): 513–515."
i20BIO,"Finke, M.D. 2002. Complete nutrient composition of commercially raised invertebrates used as food for insectivores. Zoo Biology, 21: 269–285."
i21BIO,"Redford, K.H. & Dorea, J.G. 1984. The nutritional value of invertebrates with emphasis on ants and termites as food for mammals. Journal of Zoology, 203(3): 385–395."
i22BIO,"Niaba Koffi, P.V., Gbogouri Grodji, A., Beugre Avit, G., Ocho-Anin Atchibri, A.L. & Gnakri, D. 2011. Potentialités nutritionnelles du reproducteur ailé du termite Macrotermes subhyalinus capturé à Abobo-doumé, Côte d’Ivoire. Journal of Applied Biosciences, 40: 2706–2714."
i25BIO,"Kráčmar, S., Borkovcová, M., Hönigová, M., Hedbávný, J., Fialová, M. & Zeman, L. 2005. Risk elements in insects used as a part of pets and farm animals diet. In S. Hredzak & L. Bindas, eds. XIV. Vedecké symposium o ekológii vo vybraných aglomeráciach Jelšavy - Lubeníka a Stredného Spiša. 1. vyd. Košice: Ústav geotechniky SAV Košice. pp. 75–78."
i26BIO,"Cerda, H., Martinez, R., Briceno, N., Pizzoferrato, L., Manzi, P., Tommaseo Pinzetta, M., Marin, O. & Paoletti, M.G. 2001. Palm worm: (Rhynchophorus palmarum) traditional food in Amazonas, Venezuela—nutritional composition, small scale production and tourist palatability. Ecology of Food and Nutrition, 40(1): 13–32."
i27BIO,"Borkovcová, M., Hönigová, M. & Kráčmar, S. 2005. Insect as a part of pets and farm animals diet. In VI. Kábrtovy dietetické dny. 1. vyd. Brno: Veterinární a farmaceutická univerzita v Brně. pp. 101–104."
i28BIO,"Bednářová, M., Zorníková, G., Rozíková ,V. & Borkovcová, M. 2011. Fat amount and composition in selected insect species (In Czech). In Proceedings of 37th International Conference on Foods and Raw materials quality – “Ingr Days”. pp 60–64."
i29BIO,"Marconi, S., Manzi, P., Pizzoferrato, L., Buscardo, E., Cerda, H., Hernandez, D.L. & Paoletti M.G. 2002. Nutritional evaluation of terrestrial invertebrates as traditional food in Amazonia. Biotropica, 34(2): 273–280."
i2BIO,"Idolo, I. 2010. Nutritional and quality attributes of wheat buns enriched with the larvae of Rhynchophorus phoenicis F. Pakistan Journal of Nutrition, 9(11): 1043–1046."
i30BIO,"Agbigye, F.S., Ofuya T.I. & Akindele S.O. 2009. Marketability and nutritional qualities of some edible forest insects in Benue State, Nigeria. Pakistan Journal of Nutrition, 8(7): 917–922."
i31BIO,"Chakravorty, J., Ghosh, S. & Meyer-Rochow, V.B. 2011. Chemical composition of Aspongopus nepalensis Westwood 1837 (Hemiptera; Pentatomidae), a common food insect of tribal people in Arunachal Pradesh (India). International Journal for Vitamin and Nutrition Research, 81(1): 1–14."
i32BIO,"Defoliart, M.D., Finka, M.D. & Sunde, M.L. 1982. Potential value of the Mormon cricket (Orthoptera: Tettigoniidae) harvested as a high-protein feed for poultry. Journal of Economic Entomology, 75(5): 842–852."
i33BIO,"Dierenfeld, E.S. & King J. 2008. Digestibility and mineral availability of Phoenix worms, Hermetia illucens, ingested by mountain chicken frogs, Leptodactylus fallax. Journal of Herpetological Medicine and Surgery, 18(3): 100–105."
i34BIO,"Eijala, J.K., Egbogbo, O. & Anigboro, A.A. 2009. Proximate composition and cholesterol concentrations of Rynchophorus phoenicis and Oryctes monoceros larvae subjected to different heat treatments. African Journal of Biotechnology, 8(10): 2346–2348."
i35BIO,"Ekpo, K.E. 2010. Nutrient composition, functional properties and anti-nutrient content of Rhynchophorus Phoenicis (F) larva. Annals of Biological Research, 1(1): 178–190."
i36BIO,"Ekpo, K.E. 2011. Nutritional and biochemical evaluation of the protein quality of four popular insects consumed in Southern Nigeria. Archives of Applied Science Research, 3(5): 428–444."
i37BIO,"Elemo, B.O., Elemo, G.N., Makinde, M.A. & Erukainure, O.L. 2011. Chemical evaluation of African palm weevil, Rhychophorus phoenicis, larvae as a food source. Journal of Insect Science, 11: 146."
i38BIO,"Ghaly, A.E. 2009. The use of insects as human food in Zambia. OnLine Journal of Biological Sciences, 9(4): 93–104."
i39BIO,"Ghaly, A.E. & Alkoaik, F.N. 2009. The yellow mealworm as a novel source of protein. American Journal of Agricultural and Biological Sciences, 4(4): 319–331."
i41BIO,"Hunt, A.S., Ward, A.M. & Ferguson, G. 2001. Effects of a high calcium diet on gut loading in varying ages of crickets (Acheta domesticus) and mealworms (Tenebrio molitor). In M. Edwards, K.J. Lisi, M.L. Schlegel & R.E. Bray, eds. Proceedings of the Fourth Conference on Zoo and Wildlife Nutrition. Lake Buena Vista, USA, AZA Nutrition Advisory Group."
i42BIO,"Hocking, B. & Matsumura B. 1960. Bee brood as food. Bee World, 41(5): 113–120."
i43BIO,"Gope, B. & Prasad, B. 1983. Preliminary observations on the nutritional value of some edible insects of Manipur. Journal of Advanced Zoology, 4(1): 55–61."
i44BIO,"Jones, L.D., Cooper, R.W. & Harding, R.S. 1972. Composition of mealworm Tenebrio molitor Larvae. Journal of Zoo and Animal Medicine, 3(4): 34–41."
i45BIO,"Kamarudin, N., Moslim, R., Arshad, O., Wahid, M.B. & Chong, A. 2007. Potential of using rhinoceros beetles (Oryctes rhinoceros) as an ornamental fish feed supplement. Journal of Palm Oil Research, 19: 313–318."
i46BIO,"Kinyuru, J.N., Kenji, G.M., Muhoho, S.N. & Ayieko, M. 2010. Effect of processing methods on the In Vitro protein digestibility and vitamin content of edible winged termite (Macrotermes subhylanus) and grasshopper (Ruspolia differens). Food Bioprocess Technology, 3(5): 778–782."
i47BIO,"Kinyuru, J.N., Kenji, G.M., Muhoho, S.N. & Ayieko, M. 2010. Nutritional potential of longhorn grasshopper (Ruspolia differens) consumed in Siaya District Kenya. Journal of Agriculture, Science and Technology, 12(1): 32–46."
i48BIO,"Mariod, A.A., Abdel-Wahab, S.I. & Ain, N.M. 2011. Proximate amino acid, fatty acids and mineral composition of two Sudanese edible pentatomid insects. International Journal of Tropical Insect Science, 31(3): 145–153."
i49BIO,"Newton, G.L., Booram, C.F., Barker, R.W. & Hale, O.M. 1977. Dried Hermetia illucens larvae meal as a supplement for swine. Journal of Animal Science, 44(3): 395–400."
i50BIO,"Landry, S., DeFoliart, G.R. & Sunde, M.L. 1986. Larval protein quality of six species of Lepidoptera (Saturniidae, Sphingidae, Noctuidae). Journal of Economic Entomology, 79(3): 600–604."
i51BIO,"Ng, W-K., Liew, F-L., Ang, L-P. & Wong, K-W. 2001. Potential of mealworm (Tenebrio molitor) as an alternative protein source in practical diets for African catfish, Clarias gariepinus. Aquaculture Research, 32(s1): 273–280."
i52BIO,"Ohtsuka, R., Kawabe, T., Inaoka, T., Suzuki, T., Hongo, T., Akimichi, T. & Sugahara, T. 1984. Composition of local and purchased foods consumed by the Gidra in Lowland Papua. Ecology of Food and Nutrition, 15(2): 159–169."
i54BIO,"Oonincx, D.G.A.B. & Dierenfeld, E. 2011. An investigation into the chemical composition of alternative invertebrate prey. Zoo Biology, 29: 1–15."
i55BIO,"Oyarzun, S.E., Crawshaw, G.J. & Valdes, E.V. 1996. Nutrition of the Tamandua: I. Nutrient composition of termites (Nasutitermes spp.) and stomach contents from wild tamanduas (Tamandua tetradacytyla). Zoo Biology, 15(5): 509–524."
i56BIO,"Phelps, R.J., Struthers, J.K. & Moyo, S.J. 1975. Investigations into the nutritive value of Macrotermes falciger (Isoptera: Termitidae). Zoologica Africana, 10(2): 123–132."
i57BIO,"Yhoung-Aree, J., Puwastien, P. & Attig, G.A. 1997. Edible insects in Thailand: An unconventional protein source? Ecology of Food and Nutrition, 36(2–4): 133–149."
i58BIO,"Barker, D. 1997. Preliminary observations on nutrient composition differences between adult and pinhead crickets, Acheta domestica. Bulletin of the Association of Reptilian Amphibian Veterinarians, 7(1): 10–13."
i59BIO,"Dierenfeld, E.S. 2002. Some preliminary observations on herbivorous insect composition: Nutrient advantages from a Green Leaf Diet? In Symposium of the Comparative Nutrition Society. Antwerp, Belgium, Antwerp Zoo. "
i60BIO,"Ademolu, K.O., Idowu, A.B., & Olatunde, G.O. 2010. Nutritional value assessment of variegated grasshopper, Zonocerus variegatus (L.) (Acridoidea: Pygomorphidae), during post-embryonic development. African Entomology, 18(2): 360–364."
i61BIO,"El-Hassan, N.M., Hamed, S.Y., Hassan, A.B., Eltayeb, M.M. & Babiker, E.E. 2008. Nutritional evaluation and physiochemical properties of boiled and fried tree locust, Pakistan Journal of Nutrition, 7(2): 325–329."
i63BIO,"Bernard, J.B. & Allen, M.E. 1997. Feeding captive insectivorous animals: Nutritional aspects of insects as food. Nutrition Advisory Handbook Fact Sheet 003. AZA Nutrition Advisory Group. (also available at https://nagonline.net/801/feeding-captive-insectivorous-animals-nutritional-aspects-insects-food/)."
i64BIO,"Igwe, C.U., Ujowundu, C.O., Nwaogu, L.A., Okwu, G.N. 2011. Chemical analysis of an edible African termite, Macrotermes nigeriensis; a potential antidote to food security problem. Biochemistry & Analytical Biochemistry, 1(1)."
i66BIO,"Grabowski, N.T. & Nowak, B. 2008. Proximate chemical composition of long-horned and short-horned grasshoppers (Acheta domesticus, Schistocerca gregaria and Phymateus saxosus) available commercially in Germany. Archiv für Lebensmittelhygiene, 59(6): 204–208."
i67BIO,"Ghaly, A.E. & Alkoaik, F.N. 2010. Nutritional value of the maize stalk borer and American bollworm as unconventional protein sources. American Journal of Applied Sciences, 7(1): 1–12."
i68BIO,"Melo, V., Garcia, M., Sandoval, H., Jiménez, H.D. & Calvo, C. 2011. Quality proteins from edible indigenous insect food of Latin America and Asia. Emirates Journal of Food and Agriculture, 23(3): 283–289."
i7BIO,"Okaraoye, C.C. & Ikewuchi, J.C. 2008. Rhynchophorus phoenicis (F) larva meal: nutritional value and health implications. Journal of Biological Sciences, 8(7): 1221–1225."
IN17,"Longvah, T., Ananthan, R., Bhaskarachary, K. & Venkaiah, K. 2017. Indian Food Composition Tables. Hyderabad, India, National Institute of Nutrition. (also available at http://www.ifct2017.com/frame.php?page=home)."
